Uniq_Id,International_Package,Package_Type_Budget,Package_Type_Deluxe,Package_Type_Luxury,Package_Type_Premium,Package_Type_Standard,No_Of_Destinations,Count_Of_Nights,Day,Month,Year,Average_Hotel_Ratings,Start_City_Mumbai,Start_City_New_Delhi,No_Of_Airlines,Flights_Stops,Meals,No_Of_Sightseeing_Points,Rule_NA,Rule_1,Rule_2,Rule_3,Per_Person_Price
e788ab76d9d8cf1e6ed2f139645ca5d1,0,0,0,0,0,1,4,6,30,7,2021,0,1,0,0,2,3,0,1,0,0,0,11509
178f892630ce3e335a5a41d5d83937fd,0,0,0,0,1,0,3,4,8,12,2021,4.433333333,0,1,2,0,5,7,0,1,0,0,22485.5
f060f2954840503cc2fdaf495357b7df,0,0,0,1,0,0,2,3,26,4,2021,4.2,0,1,1,0,4,8,0,1,0,0,12421.5
32a19a6c171e67448f2346da46c619dc,0,0,0,0,1,0,4,6,27,8,2021,4.5,0,1,1,0,5,9,0,1,0,0,35967
107b068aa0ca03bc6248966f594d105f,1,0,0,0,1,0,2,7,12,12,2021,4.35,0,1,2,0,5,2,0,1,0,0,25584
3bb074528941b3a6823371f77b07fb0f,0,0,1,0,0,0,1,2,30,9,2021,0,1,0,1,1,3,5,1,0,0,0,8512
644c71b1a9ccfe6eacc6303be12c1352,0,0,0,0,0,1,1,3,24,1,2021,4.1,0,1,1,2,3,4,0,1,0,0,6848
07943295cfdce5cb20861e8369948b1d,0,0,1,0,0,0,2,5,10,12,2021,4,1,0,0,1,3,6,0,1,0,0,14454.5
126e12c63233bf11ef2e001a062f2a53,0,0,1,0,0,0,4,6,3,10,2021,3.8,0,1,1,1,3,9,0,1,0,0,21556.5
72aeb7bac6d5600fe443fca06e3db631,0,0,0,0,1,0,1,2,15,8,2021,4.6,1,0,1,0,5,3,0,0,1,0,13042
e44087e386d00c5267679f8fd307b7f3,0,1,0,0,0,0,2,3,2,6,2021,4,0,1,1,2,2,7,0,1,0,0,10648.5
0dbe8654ab9d0e6e7521307cf4e87df5,0,0,0,0,1,0,4,6,14,10,2021,4.5,0,1,2,0,5,12,0,1,0,0,25902
455c47ceb54f32117184ddac1f1d3381,0,0,0,0,1,0,1,1,15,9,2021,4.5,0,1,1,0,5,1,0,1,0,0,12009.5
3429b7d0a59153d4208e1da2c6375fd6,0,0,0,0,0,1,2,3,21,5,2021,0,0,1,0,2,3,8,0,1,0,0,6911
6cd8532dfd379fa163d78c2d6e2fb4b2,0,0,1,0,0,0,4,7,19,2,2021,4.175,1,0,2,1,3,6,0,1,0,0,17323
fac47ae77eab1c689848f4b25d45cef8,0,0,0,0,0,1,3,5,29,6,2021,4,0,1,1,2,3,7,0,1,0,0,13890
59bb52b95f9f1cbcb5350b50c0c8f9b2,0,0,1,0,0,0,1,3,18,12,2021,4.1,0,1,1,1,3,6,0,0,1,0,14558.5
7c21b76443e81009f0851635819465f5,0,0,1,0,0,0,3,4,9,4,2021,3.533333333,1,0,2,1,3,9,0,1,0,0,12591
d26163e7ff27bf1e8637728c785df0db,0,0,0,1,0,0,3,7,27,11,2021,0,1,0,0,0,4,7,0,1,0,0,20739
d6d306cb2a359396aefb53ec5fbff2d7,0,0,0,0,0,1,2,6,22,11,2021,4.1,1,0,1,2,3,14,0,1,0,0,14445
1f7667c0aade3e58faca5e41e3d9ec67,0,0,0,0,1,0,3,5,18,6,2021,4.333333333,1,0,1,0,5,16,0,1,0,0,18956.5
b946deebdcada46b09a3c0e6e73585bb,0,0,0,0,1,0,1,2,3,12,2021,4.1,0,1,1,0,5,3,0,0,1,0,9441
478bcd9fea82a32feaf5e8ee747084e1,0,0,1,0,0,0,3,3,10,8,2021,3.9,1,0,1,1,3,8,0,1,0,0,12733.5
d4396f83afde2cb6d6060e71af32d68a,1,0,0,0,1,0,1,7,12,10,2021,4,1,0,2,0,5,6,0,1,0,0,43598
4a921ab444ed8941ac47ae2023f1f932,0,0,1,0,0,0,1,3,9,5,2021,3,0,1,0,1,3,0,0,1,0,0,2580
7c1ed47927b846f2484fd03f27895274,0,0,0,1,0,0,3,8,15,7,2021,4.133333333,0,1,1,0,4,16,0,1,0,0,30859.5
657b9aed5b3243275677254e92d85544,0,0,0,0,1,0,5,10,24,12,2021,4.12,1,0,3,0,5,8,0,1,0,0,41496
d8c2cf32f9feb23785e619306e565159,0,0,0,0,1,0,3,6,13,4,2021,0,1,0,0,0,5,13,0,1,0,0,13465
09a9a35c4634a24b1637c1ae5c86b52a,0,0,0,0,0,1,3,6,18,2,2021,4,1,0,1,2,3,17,0,1,0,0,18719
463ba82e2d54a7709bdc2489f0d14532,0,0,0,1,0,0,1,2,2,6,2021,4,0,1,1,0,4,4,0,1,0,0,13014
